station_name,county,lat,lon,rain_3days,predicted_risk,risk_score,ground_truth
大坪頂,苗栗縣,24.425484,120.727759,70.0,0,0.0,0
和興,苗栗縣,24.528034,120.913109,115.0,0,0.01,1
三灣,苗栗縣,24.655722,120.955306,107.0,0,0.01,1
大潭,苗栗縣,24.635269,120.820796,92.0,0,0.0,0
雪嶺,臺中市,24.279567,121.02549,239.0,0,0.48333333333333334,1
頭汴坑,臺中市,24.115092,120.811125,92.0,0,0.02,0
頭汴,彰化縣,24.085275,120.484036,15.0,0,0.0,0
萬興(2),彰化縣,23.955381,120.416991,2.0,0,0.0,0
桶頭(2),南投縣,23.644646,120.657625,2.0,0,0.0,0
翠巒,南投縣,24.182576,121.203514,56.0,0,0.016666666666666666,0
翠峰,南投縣,24.106999,121.199288,106.0,0,0.02666666666666667,1
望鄉,南投縣,23.619266,120.927817,48.0,0,0.016666666666666666,0
東埔,南投縣,23.561831,120.928349,23.0,0,0.0,0
西巒,南投縣,23.710574,120.917657,27.0,0,0.0,0
六分寮,南投縣,23.926186,120.63801,16.0,0,0.013333333333333334,0
草屯(4),南投縣,23.972525,120.678996,18.0,0,0.0,0
北山(2),南投縣,23.985549,120.892835,49.0,0,0.0,0
清流(1),南投縣,24.066314,120.953395,108.0,0,0.01,1
內茅埔(2),南投縣,23.6906,120.851828,19.0,0,0.0,0
西螺(2),雲林縣,23.800493,120.464851,4.0,0,0.006666666666666667,0
林內(1),雲林縣,23.755254,120.612491,4.0,0,0.0,0
大埔,雲林縣,23.630394,120.615417,3.0,0,0.0,0
草嶺(2),雲林縣,23.584167,120.695634,10.0,0,0.016666666666666666,0
褒忠(2),雲林縣,23.701086,120.311047,0.0,0,0.0,0
小公田(2),嘉義縣,23.424513,120.641716,13.0,0,0.043333333333333335,0
大湖山,嘉義縣,23.475173,120.620189,6.0,0,0.04666666666666667,0
樟腦寮(2),嘉義縣,23.533049,120.602587,7.0,0,0.016666666666666666,0
沙坑,嘉義縣,23.530321,120.520569,3.0,0,0.0,0
中坑(3),嘉義縣,23.570458,120.520964,3.0,0,0.0,0
溪口(3),嘉義縣,23.587551,120.40001,1.0,0,0.006666666666666667,0
南化(2),臺南市,23.044518,120.479345,5.0,0,0.006666666666666667,0
崎頂,臺南市,22.964938,120.359823,0.0,0,0.0,0
關子嶺(2),臺南市,23.330882,120.506972,1.0,0,0.006666666666666667,0
六溪,臺南市,23.309037,120.459288,4.0,0,0.006666666666666667,0
東原,臺南市,23.265355,120.445893,9.0,0,0.006666666666666667,0
北寮,臺南市,23.290374,120.496384,5.0,0,0.006666666666666667,0
虎頭埤,臺南市,23.025684,120.337183,1.0,0,0.0,0
王爺宮,臺南市,23.222178,120.400432,6.0,0,0.006666666666666667,0
關山,臺南市,23.173338,120.595163,12.0,0,0.006666666666666667,0
木柵,高雄市,22.975659,120.467014,8.0,0,0.006666666666666667,0
古亭坑,高雄市,22.892785,120.404543,12.0,0,0.006666666666666667,0
金山,高雄市,22.811862,120.398164,2.0,0,0.006666666666666667,0
阿蓮(2),高雄市,22.876332,120.327203,15.0,0,0.006666666666666667,0
甲仙(2),高雄市,23.083884,120.58767,13.0,0,0.006666666666666667,0
美濃(2),高雄市,22.892969,120.540195,33.0,0,0.006666666666666667,0
新來義,屏東縣,22.526997,120.678346,55.0,0,0.006666666666666667,0
南和,屏東縣,22.434551,120.638399,57.0,0,0.006666666666666667,0
古夏,屏東縣,22.76625,120.64444,89.0,0,0.01,0
牡丹,屏東縣,22.175595,120.836703,27.0,0,0.006666666666666667,0
新瑪家,屏東縣,22.675384,120.686784,133.0,0,0.08666666666666667,1
三地門,屏東縣,22.708369,120.649251,77.0,0,0.006666666666666667,0
壽卡,屏東縣,22.245154,120.835687,21.0,0,0.006666666666666667,0
大漢山,屏東縣,22.419298,120.683098,78.0,0,0.016666666666666666,0
士文,屏東縣,22.368323,120.663618,26.0,0,0.006666666666666667,0
泗林,屏東縣,22.545635,120.569592,15.0,0,0.006666666666666667,0
新豐(1),屏東縣,22.855418,120.617155,69.0,0,0.006666666666666667,0
武陵,臺東縣,22.969742,121.11534,0.0,0,0.0,0
知本(5),臺東縣,22.690878,120.99909,1.0,0,0.006666666666666667,0
忠勇,臺東縣,23.325933,121.439636,0.0,0,0.0,0
樟原(1),臺東縣,23.403797,121.459474,0.0,0,0.0,0
紹家,臺東縣,22.379592,120.858181,16.0,0,0.016666666666666666,0
霧鹿,臺東縣,23.169246,121.041436,10.0,0,0.04,0
新武(3),臺東縣,23.132568,121.122873,1.0,0,0.016666666666666666,0
向陽(2),臺東縣,23.247932,120.985899,21.0,0,0.016666666666666666,0
南鵝,臺東縣,22.766264,121.024368,1.0,0,0.006666666666666667,0
上里,臺東縣,22.877254,121.057045,0.0,0,0.0,0
台東(7),臺東縣,22.753496,121.158652,0.0,0,0.0,0
電光,臺東縣,23.006248,121.173241,0.0,0,0.0,0
北源,臺東縣,23.037536,121.301007,0.0,0,0.0,0
卓麓(4),花蓮縣,23.295556,121.266944,0.0,0,0.0,0
立山,花蓮縣,23.430078,121.312632,2.0,0,0.0,0
北埔,花蓮縣,24.037079,121.604462,10.0,0,0.0,0
西林,花蓮縣,23.819214,121.432069,4.0,0,0.0,0
馬太安,花蓮縣,23.672706,121.371893,6.0,0,0.0033333333333333335,0
新東礦,花蓮縣,23.814841,121.403464,3.0,0,0.0033333333333333335,0
明里,花蓮縣,23.202324,121.25167,0.0,0,0.0,0
豐濱,花蓮縣,23.602442,121.520492,1.0,0,0.0,0
六十石山,花蓮縣,23.217557,121.32297,0.0,0,0.016666666666666666,0
東富,花蓮縣,23.684836,121.482088,6.0,0,0.0,0
土場(1),宜蘭縣,24.572873,121.49644,18.0,0,0.0,0
梵梵(2),宜蘭縣,24.613062,121.525585,18.0,0,0.0,0
留茂安,宜蘭縣,24.531772,121.451236,20.0,0,0.0,0
南山,宜蘭縣,24.437089,121.379327,11.0,0,0.0033333333333333335,0
新寮(1),宜蘭縣,24.624996,121.751929,36.0,0,0.006666666666666667,0
冬山,宜蘭縣,24.635687,121.783933,26.0,0,0.006666666666666667,0
新北城,宜蘭縣,24.680903,121.748775,36.0,0,0.006666666666666667,0
大濁水,宜蘭縣,24.329422,121.739594,14.0,0,0.0,0
樟林,宜蘭縣,24.42585,121.749405,14.0,0,0.006666666666666667,0
五峰,宜蘭縣,24.829997,121.748477,43.0,0,0.006666666666666667,0
武塔,宜蘭縣,24.449458,121.77722,18.0,0,0.006666666666666667,0
太平山(1),宜蘭縣,24.494522,121.536435,26.0,0,0.013333333333333334,0
四季,宜蘭縣,24.488418,121.426136,16.0,0,0.006666666666666667,0
清水,宜蘭縣,24.614906,121.637272,63.0,0,0.006666666666666667,0
六龜(4),高雄市,22.997838,120.633563,45.0,0,0.006666666666666667,0
梅山(2),高雄市,23.265549,120.824866,61.0,0,0.03333333333333333,0
天池,高雄市,23.277581,120.916901,114.0,0,0.02666666666666667,1
望安,澎湖縣,23.360891,119.500614,0.0,0,0.0,0
新城國小,新竹縣,24.73339,120.967392,103.0,0,0.01,1
內湖國小,新竹市,24.742156,120.906944,106.0,0,0.01,1
成德中學,新竹市,24.789844,120.952712,85.0,0,0.006666666666666667,0
大竹坑,臺南市,23.141727,120.576962,6.0,0,0.006666666666666667,0
新庄國小,屏東縣,22.560122,120.488328,6.0,0,0.006666666666666667,0
利吉國小,臺東縣,22.838676,121.139022,1.0,0,0.006666666666666667,0
賓茂國小,臺東縣,22.532409,120.954393,3.0,0,0.006666666666666667,0
金針山,臺東縣,22.642801,120.952564,1.0,0,0.016666666666666666,0
神山,屏東縣,22.748999,120.728297,77.0,0,0.04666666666666667,0
奇美國小,花蓮縣,23.496927,121.445929,1.0,0,0.0,0
卓清國小,花蓮縣,23.278428,121.271983,0.0,0,0.0,0
太平國小,花蓮縣,23.405748,121.320127,1.0,0,0.0,0
寶山,高雄市,23.036624,120.708888,39.0,0,0.016666666666666666,0
民權,高雄市,23.240357,120.696723,19.0,0,0.016666666666666666,0
高中(2),高雄市,23.110591,120.703273,29.0,0,0.016666666666666666,0
多納(1),高雄市,22.910218,120.716048,109.0,0,0.02666666666666667,1
溝坪,高雄市,22.990682,120.509017,10.0,0,0.006666666666666667,0
圓富國中,高雄市,22.926574,120.509127,12.0,0,0.006666666666666667,0
上林國小,新北市,25.029351,121.832514,59.0,0,0.006666666666666667,0
吉林國小,新北市,24.985827,121.887489,32.0,0,0.0,0
豐山,嘉義縣,23.574615,120.746747,29.0,0,0.02,0
外來吉,嘉義縣,23.529649,120.739968,30.0,0,0.03666666666666667,0
楠溪,南投縣,23.472849,120.907956,86.0,0,0.013333333333333334,0
崁頂,屏東縣,22.513226,120.511111,16.0,0,0.006666666666666667,0
和中,花蓮縣,24.270832,121.741801,15.0,0,0.0,0
精忠,新北市,24.959713,121.53208,58.5,0,0.0033333333333333335,0
五峰國小,新竹縣,24.631479,121.117585,110.0,0,0.01,1
金岳國小,宜蘭縣,24.47039,121.777318,21.0,0,0.0,0
樂水分校,宜蘭縣,24.600282,121.529309,16.0,0,0.0,0
阿里山國小,嘉義縣,23.469067,120.701672,26.0,0,0.016666666666666666,0
新美國小,嘉義縣,23.337816,120.683124,23.0,0,0.016666666666666666,0
崁頭山,臺南市,23.267835,120.501621,9.5,0,0.016666666666666666,0
建山國小,高雄市,23.105439,120.682922,33.5,0,0.04,0
佳義國小,屏東縣,22.653117,120.630973,87.5,0,0.01,0
丹路國小,屏東縣,22.203384,120.751358,14.0,0,0.006666666666666667,0
愛國埔分校,臺東縣,22.457746,120.922713,3.0,0,0.006666666666666667,0
初鹿國中,臺東縣,22.849954,121.092326,1.0,0,0.006666666666666667,0
加拿國小,臺東縣,23.001003,121.130944,0.0,0,0.0,0
膽曼,臺東縣,23.224869,121.412806,0.0,0,0.0,0
凌霄,南投縣,24.018778,121.004456,114.5,0,0.03,1
魚池,南投縣,23.895703,120.94135,28.5,0,0.013333333333333334,0
國姓,南投縣,24.037803,120.855072,58.0,0,0.006666666666666667,0
翠華,南投縣,24.191961,121.224339,43.5,0,0.013333333333333334,0
仁愛,南投縣,24.022122,121.132206,105.5,0,0.016666666666666666,1
水里,南投縣,23.812553,120.849792,19.0,0,0.0,0
集集,南投縣,23.828206,120.801467,20.0,0,0.0,0
名間,南投縣,23.837053,120.701447,11.5,0,0.0,0
二林,彰化縣,23.903319,120.376069,0.5,0,0.0,0
白河,臺南市,23.347467,120.414428,1.5,0,0.006666666666666667,0
番路,嘉義縣,23.464644,120.554144,6.5,0,0.0033333333333333335,0
新營,臺南市,23.310694,120.316681,0.0,0,0.0,0
將軍,臺南市,23.214972,120.135761,0.5,0,0.0033333333333333335,0
褒忠,雲林縣,23.690928,120.303619,0.0,0,0.0,0
溪口,嘉義縣,23.604119,120.403556,2.0,0,0.0033333333333333335,0
二崙,雲林縣,23.772797,120.408944,4.0,0,0.006666666666666667,0
竹崎,嘉義縣,23.526167,120.555497,3.5,0,0.006666666666666667,0
中埔,嘉義縣,23.425381,120.522903,5.0,0,0.0033333333333333335,0
鹽水,臺南市,23.272603,120.247622,0.0,0,0.0,0
學甲,臺南市,23.230347,120.182167,0.5,0,0.0033333333333333335,0
後壁,臺南市,23.366342,120.362306,0.5,0,0.0,0
西螺,雲林縣,23.8004,120.467383,4.5,0,0.006666666666666667,0
土庫,雲林縣,23.679019,120.395561,8.0,0,0.006666666666666667,0
大林,嘉義縣,23.600606,120.458397,6.5,0,0.006666666666666667,0
東石,嘉義縣,23.458911,120.153831,0.0,0,0.0,0
水上,嘉義縣,23.419719,120.388894,0.5,0,0.0,0
嘉義市東區,嘉義市,23.457656,120.460517,2.5,0,0.0,0
關子嶺,臺南市,23.331169,120.508025,4.5,0,0.006666666666666667,0
溪州,彰化縣,23.851597,120.499083,7.0,0,0.006666666666666667,0
斗南,雲林縣,23.678725,120.478347,9.0,0,0.006666666666666667,0
斗六,雲林縣,23.720575,120.541117,1.5,0,0.0033333333333333335,0
朴子,嘉義縣,23.434628,120.239019,0.5,0,0.0,0
北港,雲林縣,23.574056,120.291786,0.0,0,0.0,0
太保,嘉義縣,23.455047,120.331439,10.0,0,0.006666666666666667,0
林內,雲林縣,23.748675,120.609642,4.5,0,0.0,0
大城,彰化縣,23.852481,120.320922,0.5,0,0.0033333333333333335,0
雲林東勢,雲林縣,23.674194,120.255722,1.0,0,0.006666666666666667,0
民雄,嘉義縣,23.551742,120.428444,6.0,0,0.006666666666666667,0
大埤,雲林縣,23.646064,120.431525,0.5,0,0.0,0
莿桐,雲林縣,23.761192,120.502372,6.0,0,0.006666666666666667,0
竹塘,彰化縣,23.848253,120.386764,1.0,0,0.0,0
臺西,雲林縣,23.701544,120.197547,1.5,0,0.006666666666666667,0
水林,雲林縣,23.572911,120.245956,0.0,0,0.0,0
元長,雲林縣,23.642858,120.31966,1.0,0,0.0033333333333333335,0
布袋,嘉義縣,23.380864,120.167778,0.0,0,0.0,0
鹿草,嘉義縣,23.411322,120.308333,3.5,0,0.006666666666666667,0
六腳,嘉義縣,23.492864,120.290611,0.0,0,0.0,0
新港,嘉義縣,23.553261,120.345719,1.0,0,0.0,0
梅山,嘉義縣,23.585386,120.555581,2.0,0,0.0,0
埔里,南投縣,23.972169,120.952425,50.5,0,0.01,0
信義,南投縣,23.689694,120.851036,20.0,0,0.0,0
左營,高雄市,22.674911,120.284911,8.5,0,0.006666666666666667,0
南投,南投縣,23.911469,120.687331,13.0,0,0.0,0
線浸林道,南投縣,23.761508,120.832956,15.0,0,0.0,0
大尖山,南投縣,23.858572,120.994889,52.0,0,0.016666666666666666,0
口湖,雲林縣,23.585344,120.180517,0.0,0,0.0,0
蔦松,雲林縣,23.514319,120.229736,0.0,0,0.0,0
茶山,嘉義縣,23.299075,120.664767,14.0,0,0.016666666666666666,0
達邦,嘉義縣,23.453994,120.749517,42.5,0,0.03333333333333333,0
鹿寮,臺南市,23.386047,120.477331,1.0,0,0.0,0
杉林溪,南投縣,23.639517,120.786444,42.5,0,0.013333333333333334,0
梅峰,南投縣,24.085272,121.173572,127.0,0,0.04,1
萬大林道,南投縣,23.928228,121.091411,63.0,0,0.016666666666666666,0
五分山,新北市,25.07125,121.780794,67.0,0,0.043333333333333335,0
太閣南,新竹縣,24.625286,121.148046,104.0,0,0.016666666666666666,1
鳥嘴山,新竹縣,24.719164,121.28372,2.0,0,0.043333333333333335,0
苗圃,花蓮縣,23.417015,121.279375,1.0,0,0.006666666666666667,0
花蓮,花蓮縣,23.972934,121.605986,9.0,0,0.006666666666666667,0
墾雷,屏東縣,21.900836,120.855269,61.0,0,0.006666666666666667,0
桃山,臺中市,24.432739,121.303808,52.5,0,0.016666666666666666,0
雪山東峰,臺中市,24.388792,121.268675,77.0,0,0.016666666666666666,0
雪山圈谷,臺中市,24.388594,121.236339,164.5,0,0.48,1
新美,嘉義縣,23.338017,120.683331,24.0,0,0.016666666666666666,0
東莒,連江縣,25.965197,119.980686,1.0,0,0.006666666666666667,0
西嶼,澎湖縣,23.5626,119.468436,0.0,0,0.0,0
花嶼,澎湖縣,23.400069,119.322761,0.0,0,0.0,0
平等,臺北市,25.129142,121.577086,203.5,0,0.44,1
白布帆,苗栗縣,24.298227,120.905896,93.0,0,0.02,0
九份二山,南投縣,23.949895,120.854392,54.5,0,0.0,0
神木,南投縣,23.528204,120.856691,40.5,0,0.016666666666666666,0
上安,南投縣,23.72541,120.876679,16.0,0,0.0,0
郡坑,南投縣,23.739861,120.870126,17.0,0,0.0,0
豐丘,南投縣,23.667997,120.876961,13.0,0,0.0,0
大粗坑,新北市,25.091251,121.838927,53.0,0,0.006666666666666667,0
鳳義坑,花蓮縣,23.740881,121.42608,6.0,0,0.0,0
射馬干,臺東縣,22.725061,121.03782,0.5,0,0.0033333333333333335,0
豐山,嘉義縣,23.590386,120.744799,40.0,0,0.03666666666666667,0
坪頂,雲林縣,23.75386,120.639013,5.5,0,0.0,0
火炎山,苗栗縣,24.356087,120.729316,65.5,0,0.0,0
萬里國小,新北市,25.175833,121.689444,45.5,0,0.006666666666666667,0
長坑國小,新北市,25.126667,121.390556,87.5,0,0.01,0
柑林國小,新北市,25.015833,121.804444,72.0,0,0.006666666666666667,0
五城加油站,新北市,24.939858,121.470989,130.5,0,0.02666666666666667,1
信賢派出所,新北市,24.838333,121.526111,107.0,0,0.016666666666666666,1
五寮國小,新北市,24.858889,121.36,73.5,0,0.006666666666666667,0
建安國小,新北市,24.925692,121.446624,128.0,0,0.03333333333333333,1
有木國小,新北市,24.853611,121.4375,142.0,0,0.09333333333333334,1
大艽芎古道,桃園市,24.825,121.288611,138.0,0,0.043333333333333335,1
高坡國小,桃園市,24.767971,121.35156,114.0,0,0.01,1
尖石國小,新竹縣,24.728728,121.226523,117.5,0,0.02666666666666667,1
錦屏國小,新竹縣,24.680365,121.246763,112.0,0,0.04,1
內灣國小,新竹縣,24.705412,121.183143,89.5,0,0.0,0
花園派出所,新竹縣,24.646103,121.151106,80.0,0,0.0,0
開礦國小,苗栗縣,24.461667,120.863889,88.0,0,0.006666666666666667,0
慈惠堂,苗栗縣,24.4475,120.790278,84.0,0,0.0,0
中坑國小,臺中市,24.236389,120.88,80.0,0,0.016666666666666666,0
坪廓分校,臺中市,24.156667,120.756667,65.5,0,0.006666666666666667,0
峰谷國小,臺中市,24.035278,120.724444,43.5,0,0.0033333333333333335,0
博屋瑪國小,臺中市,24.333611,120.920278,122.0,0,0.03,1
大觀發電廠,南投縣,23.854531,120.869499,32.0,0,0.0,0
平林國小,南投縣,23.992778,120.7625,39.5,0,0.0,0
德化國小,南投縣,23.84869,120.935333,34.0,0,0.006666666666666667,0
玉峰國小,南投縣,23.805589,120.837618,16.5,0,0.0,0
人和國小,南投縣,23.77896,120.896691,16.5,0,0.0,0
福龜國小,南投縣,24.011505,120.822421,48.5,0,0.0033333333333333335,0
北港國小,南投縣,24.056661,120.911322,77.0,0,0.0,0
永興國小,南投縣,23.784838,120.86372,16.5,0,0.0,0
車籠埔,南投縣,23.793611,120.710833,2.5,0,0.0,0
羅娜國小,南投縣,23.628333,120.870556,20.5,0,0.006666666666666667,0
太和村,嘉義縣,23.535556,120.708889,37.0,0,0.013333333333333334,0
沄水國小,嘉義縣,23.381471,120.530602,4.0,0,0.006666666666666667,0
那瑪夏國中,高雄市,23.240423,120.696717,19.0,0,0.016666666666666666,0
內獅國小,屏東縣,22.305,120.644722,16.0,0,0.006666666666666667,0
大里國小,宜蘭縣,24.970278,121.926111,14.0,0,0.0,0
大溪國小,宜蘭縣,24.935556,121.886944,31.0,0,0.0,0
永樂國小,宜蘭縣,24.575833,121.844167,20.5,0,0.0,0
溪口國小,花蓮縣,23.819722,121.473333,11.0,0,0.0,0
山興分校,花蓮縣,23.727778,121.4975,8.0,0,0.0,0
東興部落,花蓮縣,23.635204,121.530893,1.5,0,0.0,0
石梯坪,花蓮縣,23.483056,121.511389,0.5,0,0.0,0
瑞北國小,花蓮縣,23.525556,121.376111,3.0,0,0.0,0
卓溪國小,花蓮縣,23.345833,121.303333,1.0,0,0.0,0
東里國中,花蓮縣,23.263333,121.303056,0.0,0,0.0,0
金峰鄉公所,臺東縣,22.598647,120.960944,3.5,0,0.006666666666666667,0
奎輝國小,桃園市,24.7975,121.334444,111.5,0,0.02,1
金沙,金門縣,24.488292,118.408778,0.0,0,0.0,0
金寧,金門縣,24.457703,118.328989,0.5,0,0.0,0
烏坵,金門縣,24.9944,119.449556,0.5,0,0.0,0
松山,臺北市,25.048711,121.550428,84.0,0,0.006666666666666667,0
南山,宜蘭縣,24.437419,121.381669,11.0,0,0.0,0
大礁溪,宜蘭縣,24.791042,121.675047,47.0,0,0.016666666666666666,0
三棧,花蓮縣,24.115569,121.605006,7.5,0,0.013333333333333334,0
壽豐,花蓮縣,23.870853,121.508081,9.5,0,0.0,0
銅門,花蓮縣,23.965694,121.492842,9.0,0,0.0,0
荖溪,花蓮縣,23.890575,121.459639,14.0,0,0.006666666666666667,0
三星,宜蘭縣,24.668122,121.653017,68.5,0,0.006666666666666667,0
內城,宜蘭縣,24.718133,121.687664,49.0,0,0.006666666666666667,0
頭城,宜蘭縣,24.853233,121.830797,32.0,0,0.0,0
吉安光華,花蓮縣,23.930925,121.595153,9.5,0,0.0,0
鳳林,花蓮縣,23.746114,121.453411,6.5,0,0.0,0
卓溪,花蓮縣,23.344331,121.302853,1.0,0,0.0,0
冬山,宜蘭縣,24.633725,121.793697,27.0,0,0.006666666666666667,0
思源,宜蘭縣,24.393125,121.347214,14.5,0,0.0,0
新城,花蓮縣,24.040486,121.604878,10.5,0,0.0,0
